ablation,n_features,features,n_train,n_test,macro_auprc,macro_auroc,mcc,ece,balanced_accuracy,macro_f1,brier,status
tabular_only,15,"csq_missense_variant,csq_synonymous_variant,csq_stop_gained,csq_frameshift_variant,csq_splice_donor_or_acceptor,csq_start_lost,csq_coding_indel_unspecified,csq_unknown,vt_SNV,vt_MNV,vt_insertion,vt_deletion,ref_len,alt_len,len_delta",40000,15000,0.5450785511218684,0.8889093229113516,0.6251375135546051,0.21175954595406846,0.6249925975208994,0.577975033067903,0.36661282181739807,RAN
without_alphamissense,22,"csq_missense_variant,csq_synonymous_variant,csq_stop_gained,csq_frameshift_variant,csq_splice_donor_or_acceptor,csq_start_lost,csq_coding_indel_unspecified,csq_unknown,vt_SNV,vt_MNV,vt_insertion,vt_deletion,ref_len,alt_len,len_delta,loeuf,pli,mis_z,syn_z,gene_feat_missing,clingen_validity,clingen_n_diseases",40000,15000,0.5711789527962146,0.8960413228113804,0.6055518897397059,0.10142761744658153,0.6207304987772796,0.5648672160370933,0.3848881125450134,RAN
without_population,24,"csq_missense_variant,csq_synonymous_variant,csq_stop_gained,csq_frameshift_variant,csq_splice_donor_or_acceptor,csq_start_lost,csq_coding_indel_unspecified,csq_unknown,vt_SNV,vt_MNV,vt_insertion,vt_deletion,ref_len,alt_len,len_delta,loeuf,pli,mis_z,syn_z,gene_feat_missing,clingen_validity,clingen_n_diseases,am_pathogenicity,am_missing",40000,15000,0.5711779307208087,0.8960415184719857,0.6055518897397059,0.10142654321193693,0.6207304987772796,0.5648672160370933,0.38488757610321045,RAN
without_gene_features,17,"csq_missense_variant,csq_synonymous_variant,csq_stop_gained,csq_frameshift_variant,csq_splice_donor_or_acceptor,csq_start_lost,csq_coding_indel_unspecified,csq_unknown,vt_SNV,vt_MNV,vt_insertion,vt_deletion,ref_len,alt_len,len_delta,am_pathogenicity,am_missing",40000,15000,0.5451761893482926,0.8889327001043416,0.6251375135546051,0.21143820422291756,0.6249925975208994,0.577975033067903,0.3665178716182709,RAN
all_available,24,"csq_missense_variant,csq_synonymous_variant,csq_stop_gained,csq_frameshift_variant,csq_splice_donor_or_acceptor,csq_start_lost,csq_coding_indel_unspecified,csq_unknown,vt_SNV,vt_MNV,vt_insertion,vt_deletion,ref_len,alt_len,len_delta,loeuf,pli,mis_z,syn_z,gene_feat_missing,clingen_validity,clingen_n_diseases,am_pathogenicity,am_missing",40000,15000,0.5711779307208087,0.8960415184719857,0.6055518897397059,0.10142654321193693,0.6207304987772796,0.5648672160370933,0.38488757610321045,RAN
